estudiante_id,nombres,apellidos,emails,inscripciones,becas,bootcamp_id
1,nombre00,apellido00,nombre00.apellido00@python.com,2019-09-23,True,106
2,nombre01,apellido01,nombre01.apellido01@python.com,2019-01-16,True,98
3,nombre02,apellido02,nombre02.apellido02@python.com,2019-06-28,True,139
4,nombre03,apellido03,nombre03.apellido03@python.com,2019-04-07,False,120
5,nombre04,apellido04,nombre04.apellido04@python.com,2019-10-20,False,111
6,nombre05,apellido05,nombre05.apellido05@python.com,2019-10-28,True,45
7,nombre06,apellido06,nombre06.apellido06@python.com,2019-12-28,True,44
8,nombre07,apellido07,nombre07.apellido07@python.com,2019-11-18,False,107
9,nombre08,apellido08,nombre08.apellido08@python.com,2019-01-25,False,175
10,nombre09,apellido09,nombre09.apellido09@python.com,2019-01-15,True,140
11,nombre10,apellido10,nombre10.apellido10@python.com,2019-05-10,True,126
12,nombre11,apellido11,nombre11.apellido11@python.com,2019-05-03,True,50
13,nombre12,apellido12,nombre12.apellido12@python.com,2019-12-14,True,54
14,nombre13,apellido13,nombre13.apellido13@python.com,2019-10-11,True,117
15,nombre14,apellido14,nombre14.apellido14@python.com,2019-02-03,True,25
16,nombre15,apellido15,nombre15.apellido15@python.com,2019-03-27,False,136
17,nombre16,apellido16,nombre16.apellido16@python.com,2019-08-23,True,60
18,nombre17,apellido17,nombre17.apellido17@python.com,2019-11-22,False,110
19,nombre18,apellido18,nombre18.apellido18@python.com,2019-05-26,True,170
20,nombre19,apellido19,nombre19.apellido19@python.com,2019-04-28,False,61
21,nombre20,apellido20,nombre20.apellido20@python.com,2019-04-09,False,34
22,nombre21,apellido21,nombre21.apellido21@python.com,2019-08-30,True,101
23,nombre22,apellido22,nombre22.apellido22@python.com,2019-11-19,True,59
24,nombre23,apellido23,nombre23.apellido23@python.com,2019-12-31,True,183
25,nombre24,apellido24,nombre24.apellido24@python.com,2019-03-02,True,84
26,nombre25,apellido25,nombre25.apellido25@python.com,2019-04-24,True,146
27,nombre26,apellido26,nombre26.apellido26@python.com,2019-09-21,True,118
28,nombre27,apellido27,nombre27.apellido27@python.com,2019-02-18,False,171
29,nombre28,apellido28,nombre28.apellido28@python.com,2019-06-23,True,131
30,nombre29,apellido29,nombre29.apellido29@python.com,2019-07-09,True,195
31,nombre30,apellido30,nombre30.apellido30@python.com,2019-11-10,True,146
32,nombre31,apellido31,nombre31.apellido31@python.com,2019-05-11,False,165
33,nombre32,apellido32,nombre32.apellido32@python.com,2019-10-13,True,162
34,nombre33,apellido33,nombre33.apellido33@python.com,2019-04-21,True,112
35,nombre34,apellido34,nombre34.apellido34@python.com,2019-07-03,True,23
36,nombre35,apellido35,nombre35.apellido35@python.com,2019-05-18,True,75
37,nombre36,apellido36,nombre36.apellido36@python.com,2019-07-09,False,65
38,nombre37,apellido37,nombre37.apellido37@python.com,2019-11-19,True,187
39,nombre38,apellido38,nombre38.apellido38@python.com,2019-07-28,True,91
40,nombre39,apellido39,nombre39.apellido39@python.com,2019-03-06,True,157
41,nombre40,apellido40,nombre40.apellido40@python.com,2019-01-23,False,112
42,nombre41,apellido41,nombre41.apellido41@python.com,2019-07-09,False,10
43,nombre42,apellido42,nombre42.apellido42@python.com,2019-06-10,True,107
44,nombre43,apellido43,nombre43.apellido43@python.com,2019-03-08,False,171
45,nombre44,apellido44,nombre44.apellido44@python.com,2019-02-03,False,95
46,nombre45,apellido45,nombre45.apellido45@python.com,2019-08-24,True,141
47,nombre46,apellido46,nombre46.apellido46@python.com,2019-08-18,True,124
48,nombre47,apellido47,nombre47.apellido47@python.com,2019-05-27,False,84
